battery_id,model,mae,rmse
B0005,GPR,0.0028935827600931347,0.003208046429439824
B0005,Linear Regression,0.006355289949993024,0.006776653869682714
B0005,LSTM,0.004637394646290996,0.006350401430223803
B0006,GPR,0.028054776596890024,0.03587991284044012
B0006,Linear Regression,0.043598260076828425,0.04873241023668209
B0006,LSTM,0.022025996944013134,0.02353879510614896
B0007,GPR,0.003963254183812139,0.004688493543847726
B0007,Linear Regression,0.0023975152657316396,0.0028777963036994546
B0007,LSTM,0.00939020578360624,0.010267255394050495
B0018,GPR,0.011910405313082899,0.012391738194250863
B0018,Linear Regression,0.02090594578584723,0.021601260951888756
B0018,LSTM,0.008311990404170515,0.010449572916210669
